,e11,le11,sig11,S11,E11,t,d
0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
1,0.034938360495037846,0.03377171390410107,230.68047646254985,238.6039938288029,0.03265643583936051,0.024,-0.0003320781533916037
2,0.07267824661300615,0.06785796817159001,470.68050961922717,503.72853830710415,0.06345469471107684,0.048,-0.0006560682227562982
3,0.11179942422392253,0.10089819608801466,710.6805666283587,786.1292755067004,0.09136934409977737,0.07200000000000001,-0.0009597493851085889
4,0.1522653917247183,0.1329217116038505,950.6804837987954,1085.8297698335643,0.11672042826164564,0.096,-0.00124466366450318
5,0.19404038011435454,0.1639610224973854,1190.6804406537779,1402.8220603130383,0.13979041110142842,0.12,-0.0015122489563068413
6,0.23708959666153007,0.19405067789840577,1430.6805156459436,1737.07192506761,0.16082820713748391,0.144,-0.0017638383592535522
7,0.28137941286886237,0.22322636869118503,1670.6805443546828,2088.523639330814,0.18005299873192704,0.16799999999999998,-0.0020006625115816883
8,0.3268775682284144,0.2515242711936887,1910.680486797756,2457.1047492346415,0.19765777957234332,0.19199999999999998,-0.002223854162534544
9,0.3735532600676267,0.2789805012336443,2150.680467590861,2842.7298061136635,0.21381252703396003,0.21599999999999997,-0.0024344534504632124
10,0.42137710997936406,0.30563065555893276,2390.6804281719214,3245.3028661128683,0.2286670166946092,0.23999999999999996,-0.0026334135000613645
11,0.4703212397973585,0.3315095466488539,2630.6805241495176,3664.7206586954717,0.2423533673732527,0.26399999999999996,-0.002821606967757376
12,0.5203591289122771,0.3566509165284409,2870.6805498794233,4100.8736795552495,0.2549882262860676,0.288,-0.0029998318061073364
13,0.5714657041686713,0.3810873543352211,3110.68059650019,4553.649037932757,0.26667475307203603,0.312,-0.0031688178632397162
14,0.6236171623109663,0.40485013554345345,3350.680463606463,5022.930780776093,0.2775042884839709,0.336,-0.003329232255339284
15,0.6767910745356207,0.4279692431576085,3590.680432454977,5508.602510850302,0.287557872072871,0.36000000000000004,-0.003481685372320096
16,0.7309661624856825,0.4504732697790245,3830.6805278077495,6010.546887650299,0.2969074962262354,0.38400000000000006,-0.003626735471145661
17,0.7861222328269679,0.4723894253565398,4070.6805498831036,6528.646333007961,0.3056172316915118,0.4080000000000001,-0.0037648934522578016
18,0.8422402263277269,0.49374360464759803,4310.680585987758,7062.784683856987,0.31374422022503223,0.4320000000000001,-0.0038966274933448838
19,0.8993020264034068,0.5145603701467549,4550.680461372079,7612.846459166419,0.32133949977720744,0.4560000000000001,-0.004022366685337874
20,0.9572905602426132,0.5348630557650838,4790.6804349594295,8178.718782792598,0.3284487618183848,0.48000000000000015,-0.004142505003303627
21,1.0161895814999435,0.5546737568607064,5030.680531197852,8760.290147789989,0.3351129680282602,0.5040000000000001,-0.004257404211129957
22,1.0759836114809773,0.5740133865675391,5270.680551460222,9357.45056339493,0.3413689088016144,0.5280000000000001,-0.0043673968505071195
23,1.136658010710427,0.5929017724563229,5510.680582566396,9970.092938050017,0.34724970130352273,0.5520000000000002,-0.004472789153714555
24,1.1981987944657064,0.611357668626676,5750.680457627155,10598.111839382635,0.35278519757832244,0.5760000000000002,-0.00457386320810694
25,1.2605927582837242,0.6293988636934323,5990.680433052459,11241.405309691218,0.35800236947259334,0.6000000000000002,-0.004670879424756714
26,1.3238272684323609,0.6470421842017287,6230.680536157469,11899.873221123391,0.3629256156396416,0.6240000000000002,-0.004764078221356656
27,1.3878902146094452,0.6643035487754628,6470.680556335597,12573.41718655666,0.36757704549482056,0.6480000000000002,-0.004853681811135665
28,1.4527701150944234,0.6811980584606399,6710.680585979681,13261.942044722484,0.37197673803610437,0.6720000000000003,-0.00493989600968724
29,1.5184559298736664,0.6977400042627651,6950.680450985891,13965.354244404034,0.37614294852816166,0.6960000000000003,-0.005022911464081871
30,1.5849372228738856,0.7139429632120194,7190.680426009564,14683.563889955063,0.38009231296882934,0.7200000000000003,-0.005102905207550692
31,1.6522039444269754,0.7298197940421274,7430.680543952205,15416.482706209614,0.38384000473218977,0.7440000000000003,-0.0051800415921335954
32,1.7202463906181307,0.7453826785252409,7670.680565679704,16164.023819444386,0.3873998845099357,0.7680000000000003,-0.0052544733592558065
33,1.7890553507375406,0.7606432012126161,7910.680596573868,16926.103597478257,0.3907846418307669,0.7920000000000004,-0.005326342798851565
34,1.8586219003073752,0.7756123442450295,8150.680440026277,17702.63958551915,0.3940059023587375,0.8160000000000004,-0.0053957824195361385
35,1.9289376141280545,0.790300573241182,8390.680412537897,18493.55306671831,0.3970743428954862,0.8400000000000004,-0.005462915978196705
36,1.9999943191748732,0.804717820050734,8630.680556200043,19298.766489128106,0.3999997727664786,0.8640000000000004,-0.0055278589639073
37,2.07178405389249,0.8188735115132508,8870.680581329429,20118.203124959924,0.4027912162292103,0.8880000000000005,-0.005590719247523703
38,2.1442992213773757,0.8327766330536671,9110.680446065006,20951.788942019237,0.4054569929231463,0.9120000000000005,-0.005651597831919091
39,2.2175325968932187,0.8464357578390643,9350.680422511803,21799.45285211049,0.4080047833517033,0.9360000000000005,-0.005710589396005631
40,2.291477148778665,0.8598590401469407,9590.6805529165,22661.12477457722,0.41044168134803444,0.9600000000000005,-0.005767782646130622
41,2.3661259975341093,0.8730542359258421,9830.680575508391,23536.735237694655,0.41277424641656046,0.9840000000000005,-0.005823260755483064
42,2.4162799308156018,0.8817279941604541,9990.680562706842,24128.186198185555,0.4142743474800507,1.0080000000000005,-0.005859332118608176
43,2.4162799013424836,0.8817279891072496,9990.680468970952,24128.185849882222,0.4142743466136722,1.0320000000000005,-0.005859332097684534
44,2.4162799159265824,0.8817279916077123,9990.680515354015,24128.186022232163,0.4142743470423798,1.0560000000000005,-0.00585933210803812
45,2.416279908709973,0.8817279903704153,9990.680492402413,24128.185936948717,0.4142743468302436,1.0800000000000005,-0.005859332102914884
46,2.416279912280949,0.8817279909826637,9990.680503759495,24128.185979149304,0.4142743469352144,1.1040000000000005,-0.005859332105450001
47,2.416279910513931,0.8817279906797062,9990.680498139696,24128.185958267284,0.4142743468832719,1.1280000000000006,-0.005859332104195555
48,2.416279911388302,0.8817279908296182,9990.680500920533,24128.1859686003,0.4142743469089746,1.1520000000000006,-0.00585933210481629
49,2.416279910955637,0.8817279907554372,9990.680499544493,24128.185963487216,0.41427434689625614,1.1760000000000006,-0.0058593321045091315
